slope	cum_sum_220
0	0.0025
5	2.329
10	7.003
15	13.136
20	20.291
25	27.777
30	35.101
35	42.065
40	48.182
45	53.272
50	57.521
55	61.032
60	63.693
65	65.760
70	67.318
75	68.476
80	69.318
85	69.920
90	70.363
95	70.664
100	71.34648
