"name","st_x","st_y","limit"
EAST NICOLAUS 1103,-121.39102,38.89739996,624
AUBURN 1101,-121.06122,38.89051001,419
AUBURN 1102,-121.06242,38.91435003,669
FORESTHILL 1101,-120.73426,39.03857996,1059
FORESTHILL 1102,-120.84962,39.02521999,209
PIKE CITY 1101,-121.00958,39.43393001,127
PIKE CITY 1102,-120.98419,39.51537004,5
HALSEY 1101,-121.00834,39.01108001,1330
HALSEY 1102,-120.97168,38.99553002,1525
SPAULDING 1101,-120.54101,39.31248998,177
DIAMOND SPRINGS 1103,-120.8302,38.69414999,1273
DIAMOND SPRINGS 1104,-120.83052,38.65309998,523
DIAMOND SPRINGS 1105,-120.78925,38.59204004,1354
DIAMOND SPRINGS 1106,-120.72827,38.66624997,1436
DIAMOND SPRINGS 1107,-120.82911,38.70938002,1313
WISE 1101,-121.0884299,38.86498998,988
WISE 1102,-121.10392,38.88983004,713
MOUNTAIN QUARRIES 2101,-120.84789,38.90626996,1544
TAMARACK 1101,-120.41686,39.32548998,101
TAMARACK 1102,-120.50799,39.31440997,55
BONNIE NOOK 1101,-120.80901,39.21484001,172
BONNIE NOOK 1102,-120.77105,39.20378998,172
DRUM 1101,-120.68802,39.28652997,73
EAST MARYSVILLE 1108,-121.43288,39.22519,884
SHADY GLEN 1101,-120.92699,39.07020003,1262
SHADY GLEN 1102,-120.89423,39.15342002,389
PLEASANT GROVE 2103,-121.2709,38.87163998,3563
PLEASANT GROVE 2104,-121.26667,38.79794,4627
PLEASANT GROVE 2107,-121.2614,38.79812003,3677
PLEASANT GROVE 2108,-121.25057,38.85715,2375
PLEASANT GROVE 2109,-121.25839,38.81435997,2816
PLEASANT GROVE 2110,-121.30706,38.81238004,6784
PLACER 1101,-121.08152,38.88584003,637
PLACER 1102,-121.09087,38.89645996,3304
PLACER 1103,-121.0505,38.94872002,1067
PLACER 1104,-121.0713,38.91535996,1966
COLUMBIA HILL 1101,-120.9848399,39.37683002,448
BRUNSWICK 1102,-120.9108801,39.20570001,828
BRUNSWICK 1103,-120.99355,39.28928002,1688
BRUNSWICK 1104,-121.02599,39.26113997,1688
BRUNSWICK 1105,-120.8476001,39.31828002,3843
BRUNSWICK 1106,-120.92479,39.18249003,1978
BRUNSWICK 1107,-121.0507101,39.21428004,1342
BRUNSWICK 1110,-121.03762,39.22658005,2204
WEIMAR 1101,-120.94934,39.03349998,717
WEIMAR 1102,-120.98913,39.04796002,338
FLINT 1101,-121.06989,38.85386003,1330
PENRYN 1103,-121.08896,38.78006,816
PENRYN 1105,-121.12976,38.87176004,1152
PENRYN 1106,-121.16748,38.84464002,2037
PENRYN 1107,-121.10986,38.81103996,1883
HORSESHOE 1101,-121.14359,38.78172003,1116
HORSESHOE 1102,-121.1707501,38.73611004,1097
HORSESHOE 1103,-121.16825,38.74002002,1301
HORSESHOE 1104,-121.15163,38.74350004,952
HORSESHOE 1105,-121.1621,38.74433999,1463
HORSESHOE 1106,-121.1706399,38.74898999,1553
DEL MAR 1103,-121.18515,38.81066003,841
