"name","st_x","st_y","limit"
MANCHESTER 1107,-119.7703099,36.78201996,1039
MANCHESTER 1108,-119.78924,36.75999997,1561
MANCHESTER 1109,-119.78412,36.76011999,1765
MANCHESTER 1110,-119.7687399,36.78906003,1580
MANCHESTER 1111,-119.76734,36.80253001,1663
MANCHESTER 1112,-119.7898999,36.79763003,1321
BULLARD 1101,-119.72719,36.79754001,1233
BULLARD 1102,-119.78019,36.81986002,1312
BULLARD 1103,-119.76098,36.81581001,1087
BULLARD 1104,-119.77454,36.81530999,968
BULLARD 1105,-119.75021,36.80777999,1111
BULLARD 1106,-119.76993,36.82295,1006
BULLARD 1107,-119.76991,36.80707,1087
BULLARD 1108,-119.76247,36.81495002,1748
BULLARD 1109,-119.77085,36.81203997,1029
BULLARD 1110,-119.79026,36.81581002,1604
BULLARD 1113,-119.70475,36.79814003,1260
BULLARD 2111,-119.7646399,36.83754001,4016
BULLARD 2112,-119.7097,36.82315997,2171
BULLARD 2114,-119.7303,36.83750998,1875
EL PECO 1102,-120.16483,36.88109996,390
EL PECO 1105,-120.1102,36.85404996,469
EL PECO 1106,-120.0824499,36.86545998,169
DOS PALOS 1101,-120.5879899,36.99976997,674
DOS PALOS 1102,-120.49054,36.96332997,1030
DUNLAP 1103,-118.94039,36.7641,585
CLOVIS 1101,-119.66882,36.79378004,1468
CLOVIS 1102,-119.60772,36.83756004,1267
CLOVIS 1103,-119.66881,36.80834002,1505
CLOVIS 1104,-119.66806,36.80027,1133
CLOVIS 1105,-119.68578,36.81522002,1542
CLOVIS 1106,-119.68735,36.82315001,1289
CLOVIS 1107,-119.65007,36.84236998,1734
CLOVIS 1108,-119.51095,36.84853999,983
CLOVIS 2109,-119.66936,36.82855997,2310
CLOVIS 2110,-119.68887,36.82457,1519
CLOVIS 2111,-119.68659,36.82540998,2531
DINUBA 1102,-119.38603,36.53431998,1176
DINUBA 1104,-119.39099,36.50579004,1448
DINUBA 1105,-119.32702,36.44934,1543
DINUBA 1106,-119.40823,36.50980004,2142
CHOWCHILLA 1101,-120.20965,37.08540003,959
CHOWCHILLA 1102,-120.18701,37.13683996,1954
CHOWCHILLA 1103,-120.24585,37.13748003,1641
CHOWCHILLA 1104,-120.04334,37.09798999,1163
CHOWCHILLA 1105,-120.24721,37.10967996,1250
CHOWCHILLA 1106,-120.26914,37.11495001,1598
MC CALL 1101,-119.56996,36.61979,870
MC CALL 1102,-119.5852,36.57623003,1298
MC CALL 1103,-119.64231,36.61641997,1563
MC CALL 1104,-119.60168,36.56537998,1612
MC CALL 1105,-119.60804,36.56114004,2125
MC CALL 1106,-119.6318,36.56091001,1810
MC CALL 1107,-119.52943,36.63404001,1523
MC CALL 1108,-119.6463,36.61296997,-1
AUBERRY 1101,-119.26492,37.03363003,1328
AUBERRY 1102,-119.46785,37.03400003,805
MALAGA 1101,-119.7184,36.70834,915
MALAGA 1102,-119.65285,36.69030996,1789
MALAGA 1103,-119.64592,36.73017997,1989
MALAGA 1104,-119.68259,36.72162998,2023
MALAGA 1105,-119.72191,36.68609997,-1
MALAGA 1106,-119.72145,36.66599,1808
MALAGA 1107,-119.72791,36.6929,1480
MALAGA 1108,-119.7271,36.69019001,1988
MALAGA 1109,-119.72742,36.70966002,1738
MALAGA 1110,-119.6822999,36.70750996,2126
MALAGA 1111,-119.7265799,36.69319003,2828
CASSIDY  2107,-119.77133,36.96409001,813
CASSIDY  2108,-119.78791,36.87912997,533
WILSON 1101,-120.4092,37.28808998,863
WILSON 1102,-120.3534,37.32678004,1437
WILSON 1103,-120.18874,37.3573,1645
MC MULLIN SUB 1104,-119.94925,36.55396999,846
MC MULLIN SUB 1105,-119.9706,36.50280996,960
MC MULLIN SUB 1106,-119.80985,36.64111999,915
OAKHURST 1101,-119.65037,37.33636999,1557
OAKHURST 1102,-119.64749,37.31479,1042
OAKHURST 1103,-119.56997,37.32613996,2459
COARSEGOLD SUB 2102,-119.56927,37.23330004,700
COARSEGOLD SUB 2103,-119.65142,37.21613004,2481
COARSEGOLD SUB 2104,-119.62248,37.27708003,2363
RAINBOW SUB 1105,-119.49082,36.70380998,1895
RAINBOW SUB 1106,-119.45117,36.76145996,947
MARIPOSA 2101,-119.73124,37.46381996,1455
MARIPOSA 2102,-119.80933,37.33955997,1588
NEWHALL 1109,-120.24945,36.80406999,269
NEWHALL 1111,-120.31306,36.88736999,280
WAHTOKE SUB 1106,-119.44267,36.58870999,1670
WAHTOKE SUB 1107,-119.43039,36.56601002,1561
WAHTOKE SUB 1108,-119.40261,36.64747002,1311
WAHTOKE SUB 1109,-119.43017,36.58251996,1486
WAHTOKE SUB 1110,-119.43043,36.60451997,1956
WAHTOKE SUB 1111,-119.47047,36.63329001,225
FIGARDEN SUB. 2102,-119.8713,36.80434997,2690
FIGARDEN SUB. 2103,-119.84519,36.81538003,1741
FIGARDEN SUB. 2104,-119.85897,36.82294999,1221
FIGARDEN SUB. 2105,-119.79215,36.83013996,1663
FIGARDEN SUB. 2107,-119.86438,36.83003002,1854
FIGARDEN SUB. 2108,-119.88965,36.80445997,1643
FIGARDEN SUB. 2109,-119.82656,36.82410996,1116
FIGARDEN SUB. 2110,-119.89047,36.81668,2277
FIGARDEN SUB. 2111,-119.86231,36.80367001,2964
FIGARDEN SUB. 2112,-119.81396,36.86517001,2198
FIGARDEN SUB. 2113,-119.8851,36.83691003,1983
SAND CREEK 1103,-118.94889,36.60767001,695
STOREY 1104,-120.03136,36.99012003,2389
STOREY 1105,-120.04407,36.98899002,2463
STOREY 1106,-120.04691,36.97853001,1608
STOREY 1107,-120.0509,36.96268,2319
STOREY 1108,-119.86918,36.98855998,1770
STOREY 1109,-119.86694,37.10853996,1499
STOREY 1111,-120.04018,36.98166998,1843
CRESSEY 2103,-120.44433,37.47835997,2976
CRESSEY 2104,-120.5028799,37.51528996,2590
RANCHERS COTTON 1101,-119.74556,36.70161004,2107
WOODCHUCK 2101,-118.97099,37.00238997,276
BORDEN 1101,-119.89352,36.89172999,1258
BORDEN 1102,-119.98967,36.92240998,1203
BORDEN 1103,-119.88938,36.85922001,969
RIVER ROCK 1101,-119.77165,36.90285004,591
WOODWARD 2101,-119.75043,36.89416004,1308
WOODWARD 2102,-119.74793,36.86843998,1501
WOODWARD 2103,-119.76931,36.87008999,992
WOODWARD 2104,-119.7105,36.84718999,2180
WOODWARD 2105,-119.74986,36.87362,1617
WOODWARD 2106,-119.71097,36.85320001,424
WOODWARD 2107,-119.70825,36.88117998,1808
WOODWARD 2108,-119.5704101,36.99063,1990
WOODWARD 2109,-119.7302001,36.88110002,1645
SHARON 1101,-120.16108,37.09061999,-1
LE GRAND 1104,-119.96445,37.21259999,1265
LE GRAND 1106,-120.2740599,37.17834999,583
LE GRAND 1110,-120.09179,37.19910999,1189
LE GRAND 1112,-120.27414,37.18444001,-1
ORO LOMA 1108,-120.50802,36.88578999,0
ORO LOMA 1116,-120.56895,36.85077002,139
ORO LOMA 1118,-120.53071,36.78583,237
BONITA 1101,-120.13063,36.98166002,537
BONITA 1102,-120.10058,36.95999996,586
BONITA 1103,-120.20251,36.95811004,210
CRANE VALLEY 1101,-119.52901,37.29129001,-1
TULE POWER HOUSE 1101,-118.6701,36.18893996,-1
SO. CAL. EDISON #2 1101,-119.42913,37.16467002,0
SO. CAL. EDISON #3 1101,-119.4065,37.14724,0
