"RPT_YR","TPA","NO_TREE","FOR_TYP","Shap_Ar","TOT_CONBM_kgha","CON_THA","QMDC_DOM","CONPL","Av_BM_TR","CONBM_kg_pol","Cent.x","Cent.y","est.tot.con","est.tot.con.BM"
"2015","1.75531384987575","10","2122","23054.8880058484","101218.830908","419.201224","33.82453125","PIPO","913.874005206619","9138.74005206619","-2104521.23186079","1974834.8126783",966.463727123458,233358.881066685
"2015","15","335","2122","90460.1006277647","60807.275105102","218.783896938776","29.5915861111111","PIPO","1075.21383543058","360196.634869244","-2105085.54914886","1974594.92221746",1979.12133328161,550063.22249077
"2015","5","243","2122","196423.547464429","73479.176599095","280.235809502262","38.4130786885246","PIPO","1025.45051949795","249184.476238002","-2104818.96679967","1974537.52259313",5504.49118290002,1443304.05323595
"2015","8","753","2122","381014.693941693","20808.0513582547","154.821373113208","32.3524438356164","PIPO","758.576881424329","571208.39171252","-2105135.80657179","1973046.52093693",5898.92180923614,792817.331978844
"2015","2","381","2122","771354.52518788","35957.8734111372","197.420874325909","34.2703761061947","PIPO","923.597995815743","351890.836405798","-2104131.68986456","1972850.94923397",15228.1484777837,2773626.83718136
"2015","4.64464733634956","20","2122","17425.8932028222","63188.9175333333","248.044505555556","37.06987","PIPO","640.75166562835","12815.033312567","-2102789.07160885","1971768.03712404",432.239706335795,110112.332853781
"2015","15","81","2122","21889.8295038956","19578.014416","71.09272","27.57986","NOTALY","1431.85834462725","115980.525914807","-2103836.12522567","1969818.57693859",155.620751976819,42855.9397591051
"2015","2.7704150684497","15","2122","21911.1017072141","54328.1167826087","276.021852173913","28.4311764705882","PIPO","521.17808795753","7817.67131936295","-2103045.72919362","1968819.7901172",604.794287639623,119038.889238515
"2015","10","230","2122","92927.9430479047","44626.8651621359","257.784203883495","32.19304","PIPO","707.625238738646","162753.804909889","-2104621.52939265","1968660.40262044",2395.53558171349,414708.278419349
"2015","7.24807576171275","15","2122","8375.02922591633","33396.0896333333","218.065722222222","21.3425571428571","PIPO","475.406708005208","7131.10062007812","-2104134.60240495","1967096.82911107",182.630679678166,27969.3226710488
"2015","10","61","2122","24788.8332285085","34254.352237037","232.999814814815","33.0003666666667","PISA2","525.865056752832","32077.7684619228","-2103507.98984379","1965529.20898069",577.579355171781,84912.5424954498
"2015","2.92578601501374","10","2122","13831.6896780334","26885.550225","157.95375625","36.5425833333333","PIPO","571.804386645201","5718.04386645201","-2103187.52504271","1965570.29938705",218.476733992973,37187.2587535381
"2015","4.2448227397556","50","2122","47668.1438838245","39723.8520037037","222.53007037037","27.7767791666667","PIPO","634.570748344251","31728.5374172125","-2102388.83138038","1962619.97344461",1060.75954128924,189356.22929323
"2015","0.969554370419025","3","2122","12521.8034569356","31518.0163142857","150.046642857143","36.0625142857143","PIPO","520.640228961809","1561.92068688543","-2096716.56491898","1960658.5312899",187.885457123016,39466.2405639977
"2015","3.38639876242515","8","2122","9560.25962991284","2023.20698","0.4938","16.6113","NOTALY","3734.95826771542","29879.6661417234","-2095832.25058427","1961447.67114634",0.472085620525096,1934.23840138519
"2015","0.634868895914392","25","2122","159357.957542217","18777.1322329545","181.362891477273","27.4114162790698","PIPO","423.573801497403","10589.3450374351","-2095147.38694158","1961122.07963976",2890.1619959769,299228.544114377
"2015","20","1630","2122","329919.680057296","159083.293811382","816.679263143631","41.2579014285714","PSME","1189.28391994789","1938532.78951506","-2091627.53957857","1961636.08057123",26943.8561205775,5248470.93967119
"2015","0.684787757145253","50","2122","295482.533104167","133292.274922769","742.466754153846","39.3037512195122","PIPO","1035.51132402106","51775.5662010531","-2092265.02269046","1962227.75308791",21938.5957263007,3938553.90373968
"2015","1.32814555666234","10","2122","30469.9767438882","93656.4868666667","389.092545454545","55.6647363636364","PSME","1865.9794840885","18659.794840885","-2090083.57056369","1962518.46737856",1185.56408112203,285371.097674161
"2015","4.22558284421005","25","2122","23942.5930788759","206605.088818519","904.235377777778","56.5969111111111","PSME","1646.13595679786","41153.3989199466","-2089399.908629","1962964.80375929",2164.97396976569,494666.156960679
"2015","0.513300548555174","35","2122","275939.652086258","191344.25743082","622.281539672131","46.904719047619","PSME","1748.57069027361","61199.9741595765","-2088708.94667297","1963074.85088524",17171.2151556829,5279946.78241637
"2015","0.602109226651415","25","2122","168028.334531024","436944.202213904","887.692217112299","51.41679375","PIPO","2459.96851560752","61499.212890188","-2087277.15621583","1963131.76588003",14915.7444817532,7341900.65809891
"2015","1.30339235653794","10","2122","31048.64319712","179382.176721622","1072.31586216216","42.7800785714286","PIPO","894.564043102274","8945.64043102274","-2086414.85663898","1963436.22646337",3329.39525988851,556957.320095235
"2015","1.15262676362561","7","2122","24576.9019519326","319495.891557143","788.171167857143","50.8442","CADE27","1765.68149402308","12359.7704581616","-2086111.19746587","1963323.93328768",1937.08055137652,785221.920084518
"2015","1.33316947843274","8","2122","24284.1228388002","277585.561028571","738.032632142857","54.2765166666667","PSME","2360.41728619777","18883.3382895821","-2085967.2689859","1962112.10118025",1792.24750980002,674092.186229511
"2015","1","42","2122","169588.144192508","364347.672967553","980.915755851064","53.3913289473684","PSME","2934.34038784222","123242.296289373","-2084944.51867854","1962590.2213348",16635.1682643973,6178904.5699426
"2015","10","328","2100","132825.905383514","321782.259244218","1125.88965986395","53.7592","CADE27","1772.36023209922","581334.156128544","-2083878.15395985","1962344.95878387",14954.7313433366,4274101.9920466
"2015","3","1757","9001","2369898.99736503","247295.934853571","787.88203168693","44.2137686868687","CADE27","1505.34919091216","2644898.52843266","-2081259.11484047","1961654.02091635",186720.083693678,58606638.8061928
