"RPT_YR","TPA","NO_TREE","FOR_TYP","Shap_Ar","CONBM_kgha","THA","QMDC_DOM","CONPL","Av_BA_TR","CONBA_kg_pol","Cent.x","Cent.y","est.tot.trees","est.tot.BM"
"2013","1","3","7133","10413.2351311194","328.124736363636","29.7416","17.6883","PIMO","86.4669568670809","518.801741202485","-1953016.61996837","1848468.45589349",30.9706273975702,341.684003209113
"2013","1","2","7133","9562.56137495809","24732.6307636364","188.433227272727","20.713675","PIMO","198.412875153268","1587.30300122615","-1954146.66234164","1846787.85543189",180.190430087688,23650.7299641449
"2013","2.6191871712","12","2108","18540.9656232348","278794.482138095","516.673366666667","50.855","ABPRSH","1604.56188042616","96273.7128255694","-1965465.3737727","1790959.27117887",957.962312980764,516911.890926996
"2013","5","92","3020","74864.103626996","107777.624538554","402.397439759036","43.1203555555556","PIJE","1282.51752344769","2123849.01882938","-1969947.91127132","1771669.7520618",3012.51236293584,806867.525212579
"2013","5","71","3020","57478.1528211096","221804.220727692","1161.58760923077","47.2902357142857","PIJE","1430.85007249844","1422264.97206345","-1969833.25152774","1771186.90883599",6676.59101184735,1274889.68953534
"2013","5","617","3020","499150.489962664","142010.621142986","539.511038129496","45.1171137931034","PIJE","904.496956773243","32368328.0950873","-1970083.92018372","1769933.38800292",26929.7199022604,7088467.11234235
"2013","3","199","7101","268859.477371081","26538.4142491749","422.370166666667","24.4590772727273","PIAL","284.323957576921","1244770.28627176","-1968499.30357784","1841218.74913148",11355.8222267136,713510.418529041
"2013","3","88","3015","118430.651670231","7098.74139259259","126.124722962963","32.90082","PIMO3","1378.05444396215","1212687.9106867","-1954098.57471939","1773548.53472224",1493.70331322311,84070.8569163186
"2013","5","85","2108","68590.9291583581","14897.4351386667","107.961521333333","31.27976","PIJE","590.656570211538","1004116.16935961","-1953163.77556571","1770423.4061353",740.518106160323,102182.891823752
"2013","5","56","2108","45567.6492815561","13369.06995","8.89537291666667","44.4378857142857","PIMO3","2256.59988818831","884587.156169819","-1953672.8338706","1771957.67411675",40.5341233295319,60919.7090702191
"2013","5","208","2108","168517.882114208","40503.9960419355","231.293203225806","42.5985096774194","PIJE","707.069865531464","4559186.49294688","-1954204.84953231","1772485.9604734",3897.7040755024,682564.763014922
"2013","5","196","2108","158811.172485286","5221.92031477273","28.9163232954545","35.19032","NOTALY","824.422122015217","2423801.03872474","-1954030.73608971","1772986.00102724",459.223520651472,82929.928781379
"2013","0.34145278769","3","7101","35555.6261533052","0","0","0","N/A","0","0","-1954904.09871258","1770618.46541841",0,0
"2013","1","155","7133","626723.106214723","21360.8325080576","112.091288345324","35.767887037037","PIJE","635.363907919562","5317995.90928673","-1953888.17266282","1770909.83843849",7025.02004113915,1338732.73007823
"2013","1","160","7133","648609.945951526","38167.2630806094","226.068314542936","36.9357222222222","PIJE","618.61117785717","5344800.57668595","-1953756.59576095","1769658.21010911",14663.0157277046,2475566.64438317
"2013","5","53","3020","42729.2337381677","173184.382308333","1346.95469583333","35.7445692307692","PICO","637.431300040199","439190.165727697","-1971183.55961472","1841575.85035348",5755.43420329852,740003.595145298
"2013","5","16","3020","12721.469066381","240257.337638462","2021.48954615385","22.116825","PICO","275.703431405001","17645.0196099201","-1970969.02666231","1842055.49601396",2571.63167294088,305642.628873875
"2013","1","10","7101","41504.7623887404","133021.339769767","366.351544186047","33.296075","PICO","528.641950608667","21145.6780243467","-1971725.03018521","1843023.13872976",1520.533379219,552101.90997761
"2013","7","411","7101","237783.309959454","193089.808270566","2093.66359245283","36.8480761904762","PICO","746.881721665307","6446336.13969326","-1973768.52970722","1845102.2081114",49783.8258955036,4591353.37300116
"2013","1","18","3020","73589.1011804216","249247.665140964","526.970265060241","47.75583","PICO","1032.8886557509","185919.958035161","-1989150.20902526","1819114.28006623",3877.92681545917,1834191.16490422
"2013","1","18","3020","73700.425211826","90259.3481353659","944.934157317073","37.3456714285714","PIMO3","730.816293187169","92082.8529415832","-1972679.53284989","1783178.42904515",6964.20491914468,665215.23369187
"2013","2","38","2108","76302.436680687","232510.969755952","455.084341666667","50.43562","PIMO3","1556.74566780671","887345.030649824","-1973614.04085969","1782562.68033303",3472.40441643929,1774115.35473687
